date,temperature,humidity,rainfall
2024-01-31,26.791935483870965,69.80225806451612,4.620322580645161
2024-02-29,27.371724137931032,73.39724137931034,3.7513793103448276
2024-03-31,28.093548387096774,71.71193548387097,4.38
2024-04-30,28.017999999999997,65.90400000000001,4.678333333333333
2024-05-31,27.410967741935483,61.64032258064516,3.356451612903226
2024-06-30,29.506666666666668,63.49433333333333,6.167333333333334
2024-07-31,28.93967741935484,64.71032258064515,5.258064516129032
2024-08-31,27.853225806451615,64.2258064516129,6.140322580645161
2024-09-30,27.280666666666665,68.69,6.8853333333333335
2024-10-31,28.383548387096774,69.40677419354839,4.47
2024-11-30,29.593666666666667,69.837,5.701
2024-12-31,27.41516129032258,67.86096774193548,6.186451612903226
